match_id,date,home_team,away_team,home_goals,away_goals,result,altitude_m,weather,temperature_c,humidity_pct,wind_kmh
M001,2023-02-05,TeamA,TeamB,2,1,home_win,1500,clear,22,55,10
M002,2023-02-19,TeamB,TeamC,1,1,draw,800,cloudy,18,65,15
M003,2023-03-05,TeamA,TeamC,3,0,home_win,1500,clear,24,50,8
M004,2023-03-19,TeamC,TeamA,2,2,draw,1200,rain,16,80,20
M005,2023-04-02,TeamB,TeamA,0,2,away_win,800,clear,20,60,12
M006,2023-04-16,TeamC,TeamB,1,3,away_win,1200,clear,21,58,9
M007,2023-05-07,TeamA,TeamB,1,1,draw,1500,cloudy,19,70,18
M008,2023-05-21,TeamB,TeamC,2,0,home_win,800,clear,23,52,7
M009,2023-06-04,TeamA,TeamC,2,1,home_win,1500,clear,25,48,6
M010,2023-06-18,TeamC,TeamA,0,1,away_win,1200,rain,15,85,25
M011,2023-07-02,TeamB,TeamA,1,2,away_win,800,clear,28,45,5
M012,2023-07-16,TeamC,TeamB,2,1,home_win,1200,cloudy,20,68,14
M013,2023-08-06,TeamA,TeamB,3,1,home_win,1500,clear,26,50,8
M014,2023-08-20,TeamB,TeamC,1,2,away_win,800,rain,17,78,22
M015,2023-09-03,TeamA,TeamC,1,0,home_win,1500,clear,22,55,10
M016,2023-09-17,TeamC,TeamA,3,1,home_win,1200,cloudy,19,72,16
M017,2023-10-01,TeamB,TeamA,2,2,draw,800,clear,21,60,11
M018,2023-10-15,TeamC,TeamB,0,2,away_win,1200,clear,23,55,9
M019,2023-11-05,TeamA,TeamB,2,0,home_win,1500,cloudy,18,68,17
M020,2023-11-19,TeamB,TeamC,3,2,home_win,800,clear,24,50,7
M021,2023-12-03,TeamA,TeamC,1,1,draw,1500,rain,14,88,28
M022,2023-12-17,TeamC,TeamA,1,2,away_win,1200,clear,20,62,12
M023,2024-01-07,TeamB,TeamA,0,3,away_win,800,clear,22,55,10
M024,2024-01-21,TeamC,TeamB,1,1,draw,1200,cloudy,19,70,15
M025,2024-02-04,TeamA,TeamB,2,1,home_win,1500,clear,23,52,8
M026,2024-02-18,TeamB,TeamC,2,1,home_win,800,clear,25,48,6
M027,2024-03-03,TeamA,TeamC,3,2,home_win,1500,cloudy,20,65,14
M028,2024-03-17,TeamC,TeamA,0,0,draw,1200,rain,16,82,22
M029,2024-04-07,TeamB,TeamA,1,3,away_win,800,clear,24,55,9
M030,2024-04-21,TeamC,TeamB,2,0,home_win,1200,clear,22,58,11
M031,2024-05-05,TeamA,TeamB,1,2,away_win,1500,clear,26,50,7
M032,2024-05-19,TeamB,TeamC,0,1,away_win,800,rain,18,75,20
M033,2024-06-02,TeamA,TeamC,2,0,home_win,1500,clear,27,45,5
M034,2024-06-16,TeamC,TeamA,1,3,away_win,1200,cloudy,21,65,13
M035,2024-07-07,TeamB,TeamA,2,1,home_win,800,clear,29,42,4
M036,2024-07-21,TeamC,TeamB,1,2,away_win,1200,clear,28,45,6
M037,2024-08-04,TeamA,TeamB,3,0,home_win,1500,clear,25,52,8
M038,2024-08-18,TeamB,TeamC,2,2,draw,800,cloudy,20,68,16
M039,2024-09-01,TeamA,TeamC,1,1,draw,1500,clear,22,58,10
M040,2024-09-15,TeamC,TeamA,2,1,home_win,1200,rain,15,88,26
