player_id,name,team_id,position,matches,goals,assists,shots_on_target,pass_accuracy,dribbles_completed,tackles,interceptions,yellow_cards,red_cards,minutes_played,rating
P001,Carlos Mendoza,TeamA,FW,30,18,7,65,71.2,42,8,5,3,0,2450,7.8
P002,Diego Ramirez,TeamA,FW,28,12,10,48,74.5,38,5,3,2,0,2210,7.5
P003,Luis Torres,TeamA,MF,32,5,14,22,82.3,55,28,22,4,0,2780,7.6
P004,Andres Vega,TeamA,MF,31,3,8,15,85.1,30,35,30,5,1,2600,7.2
P005,Marco Rios,TeamA,MF,29,2,6,10,80.4,25,32,28,3,0,2350,7.0
P006,Ivan Flores,TeamA,DF,33,1,2,5,88.7,10,45,38,6,0,2950,7.4
P007,Roberto Silva,TeamA,DF,32,0,3,4,87.2,8,48,42,4,0,2880,7.3
P008,Miguel Castro,TeamA,DF,30,1,1,3,86.9,6,42,35,5,1,2650,7.1
P009,Felipe Mora,TeamA,DF,31,0,1,2,89.3,5,50,44,3,0,2750,7.5
P010,Jorge Pena,TeamA,GK,33,0,0,0,91.2,1,2,5,1,0,2970,7.7
P011,Sebastian Ruiz,TeamB,FW,31,22,8,72,69.8,50,6,4,4,1,2600,8.1
P012,Cristian Lopez,TeamB,FW,29,14,9,55,72.1,44,4,3,2,0,2300,7.7
P013,Nicolas Herrera,TeamB,MF,32,6,16,25,83.6,48,30,25,3,0,2820,7.9
P014,Javier Morales,TeamB,MF,30,4,10,18,84.2,35,33,28,5,0,2550,7.4
P015,Pablo Diaz,TeamB,MF,28,3,7,12,79.8,28,30,26,4,0,2200,7.1
P016,Eduardo Reyes,TeamB,DF,33,2,3,6,87.5,12,46,40,5,0,2970,7.5
P017,Gonzalo Soto,TeamB,DF,31,0,2,3,88.1,9,44,39,6,1,2780,7.2
P018,Andres Rojas,TeamB,DF,32,1,1,4,86.4,7,47,41,3,0,2880,7.3
P019,Camilo Vargas,TeamB,DF,30,0,2,2,90.1,4,49,43,4,0,2700,7.6
P020,Mario Perez,TeamB,GK,32,0,0,0,90.8,2,3,6,2,0,2880,7.8
P021,Tomas Alvarez,TeamC,FW,28,16,11,60,70.5,46,7,5,3,0,2380,7.9
P022,Ricardo Gutierrez,TeamC,FW,27,10,8,42,73.2,36,5,4,2,0,2150,7.4
P023,Emilio Navarro,TeamC,MF,30,4,13,20,81.7,52,27,23,4,0,2600,7.5
P024,Francisco Paredes,TeamC,MF,29,3,9,14,83.4,32,34,29,3,0,2450,7.2
P025,Alejandro Munoz,TeamC,MF,28,2,5,11,78.9,26,31,25,5,0,2200,6.9
P026,Claudio Espinoza,TeamC,DF,31,1,2,5,86.8,11,44,37,6,0,2780,7.3
P027,Hugo Medina,TeamC,DF,30,0,3,3,87.6,7,46,40,4,0,2700,7.4
P028,Patricio Lagos,TeamC,DF,29,1,1,3,85.9,6,41,34,5,1,2550,7.0
P029,Victor Salinas,TeamC,DF,30,0,1,2,89.0,4,48,42,3,0,2650,7.5
P030,Oscar Fuentes,TeamC,GK,31,0,0,0,90.3,1,2,5,1,0,2790,7.6
